"country_code","temp_co2_corr_cof"
ABW,-0.03955745810017998
AFG,-0.5296991734619328
AGO,0.06697417619844744
ALB,0.22678706380243166
ARE,0.5620226421872924
ARG,0.051650294115835396
ARM,0.12018586621847871
ASM,
ATF,
ATG,-0.02715744037429241
AUS,0.48401225542824666
AUT,0.021022886173006565
AZE,-0.47372227684122886
BDI,-0.5667312076133714
BEL,-0.2116086000706942
BEN,0.5736239764936205
BFA,0.2612257359332596
BGD,0.6394292105371269
BGR,-0.2817261756307818
BHR,0.6566976163544752
BHS,0.0907091055103771
BIH,0.27318590074159277
BLR,-0.1774394248755586
BLZ,-0.4815709693084347
BOL,0.3170134144926116
BRA,0.6437990654142017
BRB,0.5868095001079595
BRN,-0.13272844756443442
BTN,0.637412623667732
BWA,-0.040977337960448924
CAF,0.3966102543781856
CAN,0.4422758239933706
CHE,-0.16026947055112128
CHL,0.21373022470480937
CHN,0.622270124684719
CIV,0.3153646171040356
CMR,0.02237601264350368
COD,
COG,-0.05005711785381047
COK,0.16351160823354918
COL,0.05332634448608315
COM,0.45939556081472926
CPV,0.2969906950440756
CRI,0.2551622993215963
CUB,-0.20184734890608655
CYM,-0.35396139961165424
CYP,0.5851740526200804
CZE,-0.47744982269414193
DEU,-0.3215691210843549
DJI,-0.08349242619324189
DMA,0.4532230894398407
DNK,-0.6068514811798423
DOM,0.6732958948320114
DZA,0.3807480230188865
ECU,0.025212823398663778
EGY,0.3428615390997392
ERI,0.37966432175833337
ESP,0.28423458616454744
EST,-0.10532336694860792
ETH,0.07834735718346783
FIN,-0.24827771205244029
FJI,0.5090790019970306
FLK,
FRA,-0.6847082344905411
FRO,0.37089359550914824
FSM,-0.2219998480660196
GAB,-0.3465484006186757
GBR,-0.5209784782633209
GEO,-0.7360618124741329
GHA,0.67805651334853
GIB,0.23772396677424648
GIN,0.6815931729601569
GMB,0.20600929012873637
GNB,-0.22032824105274212
GNQ,0.5063794208302587
GRC,0.5478818467447361
GRD,0.7113601023776472
GRL,0.542174268461554
GTM,0.24194507439892957
GUF,
GUY,0.6698362248070482
HKG,0.2983717402975979
HND,0.2809859841807117
HRV,0.29820964218191615
HTI,0.2873727629623757
HUN,-0.6783124241234469
IDN,0.28867932642587923
IND,0.6325097655010167
IRL,0.564581730987951
IRN,0.32733332016982564
IRQ,0.4518968552062007
ISL,0.6925071710695629
ISR,0.33758025846618855
ITA,0.1820878187154908
JAM,0.21671293124070873
JOR,0.32873211151992
JPN,0.04453312919322226
KAZ,-0.13977606383505967
KEN,0.3291487855888056
KGZ,-0.3841491734779534
KHM,0.2068654048100211
KIR,0.3325169820439062
KNA,0.044868248598692075
KOR,0.12421247396462078
KWT,0.6387265141632885
LAO,0.08768259332584193
LBN,0.5147318662259128
LBR,0.6156685018099372
LBY,0.5755789559093711
LCA,0.24431521310591484
LKA,0.3882059388087841
LTU,-0.1508853371272341
LUX,-0.3636223037502241
LVA,-0.29301898012711264
MAC,0.45496513589196774
MAR,0.5332504622871462
MDA,-0.4079056327608631
MDG,0.6510687162658271
MDV,-0.1767541073546193
MEX,0.4078334286189343
MHL,0.20254836839978552
MKD,0.25631841728354793
MLI,0.3668938866899657
MLT,0.07376499473040353
MMR,0.23670342086385587
MNE,-0.9278215744694046
MNG,0.014411518081769761
MOZ,0.3088401043534189
MRT,-0.2889219758286923
MUS,0.23706840768885612
MWI,0.4746741435733249
MYS,0.3013458527614383
NAM,0.2540818792060285
NCL,0.08201619791213885
NER,0.20143968499031215
NGA,0.31628938304852905
NIC,0.33454424093387225
NIU,
NLD,-0.5364332411137732
NOR,0.6109377493224629
NPL,0.677667822043954
NRU,-0.9197547647564056
NZL,0.42629871358354576
OMN,0.6585582392481784
PAK,0.5217577740238782
PAN,0.3714456139497321
PER,0.2199141052023219
PHL,0.4934584081625176
PLW,0.6260537244096034
PNG,0.17068861214008563
POL,-0.42821669365214865
PRK,-0.4138085635702803
PRT,0.10939208005179005
PRY,0.2478993589081543
PSE,
PYF,0.5616674214537993
QAT,0.4503951347741038
REU,
RUS,-0.139992828447327
RWA,0.5564683337970009
SAU,0.24897221425234384
SEN,0.32897286066039044
SGS,
SJM,
SLB,0.7478188330483649
SLE,0.8861937257839868
SLV,0.4102863650570367
SOM,0.7427295802137474
SPM,
SRB,-0.02602608716121985
STP,0.4056774274650181
SUR,0.6709139255156652
SVK,-0.3209628841023986
SVN,-0.09036102647123907
SWE,-0.7341525205215691
SWZ,-0.027857170131808384
SYC,0.3696923397796598
SYR,0.36997167772620354
TCA,0.1892125997106349
TCD,0.5775397377289533
TGO,0.6952228753078934
THA,0.10399330273492294
TJK,-0.6133929450644655
TKM,0.3837883289555574
TMP,-0.260710429055579
TON,0.7568095088360152
TTO,0.17667148460002408
TUN,0.4794052277949453
TUR,0.4644249795447
TWN,
TZA,0.643233758940385
UGA,0.5437852930265317
UKR,-0.4245004305145213
URY,0.06243277981512116
USA,0.4693852199147412
UZB,0.1385746729842651
VCT,0.3825776142342681
VEN,0.301524189475156
VIR,
VNM,0.2892745851272074
VUT,0.4943173324722109
WBG,0.11047278785719433
WSM,0.3049102218739519
YEM,-0.5160334539501744
ZAF,0.2258738229221325
ZMB,-0.043022657347672785
ZWE,0.050752004343026645
